,open,open_1,close_1,high_1,low_1,volume_1,crudeoil_1,gold_1,avg_price_5,avg_price_30,avg_price_365,ratio_avg_price_5_30,ratio_avg_price_5_365,ratio_avg_price_30_365,avg_volume_5,avg_volume_30,avg_volume_365,ratio_avg_volume_5_30,ratio_avg_volume_5_365,ratio_avg_volume_30_365,avg_crudeoil_5,avg_crudeoil_30,avg_crudeoil_365,ratio_avg_crudeoil_5_30,ratio_avg_crudeoil_5_365,ratio_avg_crudeoil_30_365,avg_gold_5,avg_gold_30,avg_gold_365,ratio_avg_gold_5_30,ratio_avg_gold_5_365,ratio_avg_gold_30_365,return_1,return_5,return_30,return_365,moving_avg_5,moving_avg_30,moving_avg_365,close
count,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0,995.0
mean,20585.88891633367,20580.52948048241,20580.41876186131,20675.353853335677,20475.975757761807,224937969.84924623,52.024281407035176,1233.8283417085427,20570.286175491463,20523.561557125595,19567.84599879992,1.0023112123952451,1.049549223178411,1.0469924013096756,224326514.57286432,221432329.74395788,193470644.3726569,1.0136114425391671,1.1862752940481613,1.1673253508861234,52.04082412060305,52.10461115099314,54.895206149796614,0.9991535252412779,0.9747400633723655,0.9744017255262046,1233.6693567839184,1233.2252045944006,1234.2499441652703,1.0004150139146952,1.000146028156626,0.9996810137227102,0.0002966440769061442,0.0013450679179032759,0.006992433335674513,0.11153438005525856,0.0002675753957000015,0.0003441487652691852,0.00043619778730891607,20586.27384783819
std,3212.591407492259,3212.7510313413204,3208.5691528510324,3226.0761963309674,3197.8795765599425,135782051.7630552,10.073506377904376,71.19572969868197,3205.0010870240617,3191.2112860921798,2691.417237486955,0.015353055215115647,0.05417669103955311,0.048889210421684946,127185323.22006378,120205155.8686011,104097999.52872133,0.17219678505766425,0.4536463460500835,0.3757314547843865,10.01841276380931,9.844432591391902,12.231580147428287,0.04668368051640296,0.2032053180780193,0.1934369081999273,70.63382983166402,68.6489645364015,44.70811384365893,0.017227504852675112,0.05750513603436644,0.053869702055204194,0.00873042095437208,0.018485759286993746,0.03383070087318397,0.10131601880795674,0.003710020026753794,0.0015887651938448126,0.0003543868637609427,3208.260814320758
min,15676.259766,15676.259766,15660.179688,15897.820313,15370.330078,40350000.0,26.21,1049.4,15918.037890800004,16077.495675285718,16787.307210345247,0.9359720425810114,0.9025541577133219,0.9225749140026507,63654000.0,72096666.66666667,91874404.76190476,0.5580278035217795,0.5591003816957525,0.6518765477635065,28.016000000000027,30.154285714285823,41.39940476190479,0.8635585826461387,0.5058018140301521,0.5332191322502081,1059.109999999999,1067.7261904761908,1144.975,0.9523362348477701,0.9031789227567119,0.9170171766300348,-0.046048851407085686,-0.10535455484476393,-0.10923867393184036,-0.1206543042250367,-0.02196622804569147,-0.005381478206453981,-0.0004520986690047829,15660.179688
25%,17827.089843499998,17826.269530999998,17828.5244145,17913.3447265,17728.3603515,99480000.0,45.72,1192.65,17809.350976600006,17792.05254842857,17448.517405759936,0.9950134951315242,1.0215407070736096,1.0249092446775419,102038000.0,103197619.04761904,106312162.69841269,0.9004366913122441,0.906404868865659,0.9466571339479213,45.66900000000009,46.12333333333342,46.32569444444448,0.9673158214282633,0.7995634388070068,0.8218818686375371,1193.9649999999997,1195.6166666666666,1197.3411706349207,0.9892845384678661,0.9573586829597114,0.9574860702648835,-0.0031337345633326687,-0.006853351592603486,-0.011863043001951824,0.036030085255121067,-0.001314714753495178,-0.0005350955746413138,0.0001824285125673474,17829.2451175
50%,19876.349609,19876.130859,19881.759766,19934.150391,19811.5,228480000.0,50.04,1241.0,19868.144140800003,19745.272786571455,17921.01305576194,1.0031343558930035,1.0506671591572057,1.0473683405114609,229224000.0,244658095.23809522,118247103.17460318,0.9895633326658264,1.0898435067614418,1.0956359547976982,50.188000000000095,49.79428571428583,50.43210317460319,1.0035639249863808,1.0222354898070038,1.0307825501022687,1240.759999999999,1239.1142857142856,1246.549603174602,1.0008435328497902,0.9914987348201247,0.9893060898307375,0.0004174919075687789,0.0032286693090086906,0.008476982825419388,0.1167127574344498,0.0006602463802272687,0.0004357098010286866,0.0004679476977919966,19883.060547
75%,24073.399414,24073.399414,24091.4404295,24311.6308595,23825.9052735,318280000.0,59.41,1284.275,24128.875195400004,24230.05617561908,21731.52554573017,1.0123601657502337,1.090840773562012,1.0854284339692963,323445000.0,321404285.71428573,311841964.28571427,1.0980031184491066,1.2953175477984697,1.2218324413045791,59.360000000000014,59.26047619047629,61.630198412698405,1.032036908646999,1.1460113450595895,1.1371789063427409,1283.3999999999987,1279.7809523809526,1265.4335317460318,1.0117416364996925,1.0376840210191194,1.0344940375223812,0.004517077024994331,0.011507952425947965,0.029570555202803012,0.18668160660663707,0.002333325538996427,0.0014119452341204877,0.0007044173945868673,24091.4404295
max,26833.470703,26833.470703,26828.390625,26951.810547000005,26789.080078,900510000.0,76.41,1366.25,26667.866406400008,26427.10305076192,25122.926114615082,1.0344069869473265,1.191216201874265,1.1643738596180413,687108000.0,526674761.9047619,358670714.28571427,2.0733498384457216,3.6251777240642205,2.550460170845383,75.122,72.75666666666669,92.56285714285715,1.1375673673353746,1.2768529782012559,1.2462776600442458,1357.0099999999989,1345.2023809523812,1297.0968253968242,1.0652240840920084,1.1570757967306013,1.129408133084141,0.04984581817942126,0.05615600664554098,0.11108874777312197,0.34428854075242077,0.011000442018975603,0.005055923458789047,0.0011839996509623153,26828.390625
