,Open,High,Low,Close,Adj Close,Volume,crudeoil,gold
count,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0
mean,19812.13729427542,19902.26842966293,19714.448891202563,19813.174728141716,19813.174728141716,198226933.54683748,60.268030424339464,1240.1989191353082
std,3260.3225013337874,3275.077928285977,3242.69899598083,3256.3773487386097,3256.3773487386097,134382321.22976202,19.653764669114807,68.6806438975827
min,15372.929688,15478.209961000002,15340.69043,15372.799805,15372.799805,40350000.0,26.21,1049.4
25%,17277.109375,17409.720703,17163.730469,17280.830078,17280.830078,88460000.0,46.77,1199.0
50%,18135.720703,18203.369141,18062.490234,18128.660156,18128.660156,123870000.0,52.81,1246.4
75%,22349.699219,22405.630859,22299.580078,22381.199219,22381.199219,299670000.0,68.47,1291.5
max,26833.470703,26951.810547000005,26789.080078,26828.390625,26828.390625,900510000.0,107.26,1385.0
